대여일시,자치구,총사용수
2024-02-08,구로구,3642
2024-02-08,금천구,1761
2024-02-08,노원구,5427
2024-02-08,도봉구,1943
2024-02-08,동대문구,2863
2024-02-08,동작구,1609
2024-02-08,마포구,3844
2024-02-08,서대문구,1666
2024-02-08,서초구,2498
2024-02-08,성동구,3284
2024-02-08,성북구,1832
2024-02-08,송파구,7818
2024-02-08,양천구,5836
2024-02-08,영등포구,8007
2024-02-08,용산구,1492
2024-02-08,은평구,2178
2024-02-08,종로구,3153
2024-02-08,중구,2251
2024-02-08,중랑구,2555
2024-02-09,강남구,1406
2024-02-09,강동구,2160
2024-02-09,강북구,880
2024-02-09,강서구,5070
2024-02-09,관악구,1134
2024-02-09,광진구,2138
2024-02-09,구로구,1826
2024-02-09,금천구,600
2024-02-09,노원구,3640
2024-02-09,도봉구,1336
2024-02-09,동대문구,1606
2024-02-09,동작구,956
2024-02-09,마포구,2183
2024-02-09,서대문구,1077
2024-02-09,서초구,1324
2024-02-09,성동구,1477
2024-02-09,성북구,1193
