사용일자,자치구,승차총승객수
20240202,성동구,127491
20240202,성북구,49420
20240202,송파구,206142
20240202,양천구,37545
20240202,영등포구,340197
20240202,은평구,128289
20240202,종로구,250820
20240202,중구,278480
20240202,중랑구,93127
20240203,강남구,238294
20240203,강동구,64563
20240203,강북구,37297
20240203,강서구,129787
20240203,관악구,124680
20240203,광진구,54210
20240203,구로구,85349
20240203,금천구,38627
20240203,노원구,122821
20240203,도봉구,72706
20240203,동대문구,80710
20240203,동작구,70251
20240203,마포구,224948
20240203,서대문구,73439
20240203,서초구,123117
20240203,성동구,83769
20240203,성북구,33241
20240203,송파구,131831
20240203,양천구,24109
20240203,영등포구,216200
20240203,은평구,92099
20240203,종로구,178541
20240203,중구,157290
20240203,중랑구,67784
20240204,강남구,143589
20240204,강동구,47789
20240204,강북구,30546
20240204,강서구,97434
20240204,관악구,91584
20240204,광진구,41729
20240204,구로구,63659
20240204,금천구,28370
20240204,노원구,94118
20240204,도봉구,59760
20240204,동대문구,62623
20240204,동작구,50704
20240204,마포구,176157
20240204,서대문구,54323
20240204,서초구,98902
20240204,성동구,63308
20240204,성북구,27773
20240204,송파구,94131
20240204,양천구,17681
20240204,영등포구,160397
20240204,은평구,70186
20240204,종로구,129640
20240204,중구,121040
20240204,중랑구,50645
20240205,강남구,405984
20240205,강동구,96109
20240205,강북구,45541
20240205,강서구,184797
20240205,관악구,146331
20240205,광진구,60722
20240205,구로구,126257
20240205,금천구,102515
20240205,노원구,160249
20240205,도봉구,89697
20240205,동대문구,100643
20240205,동작구,88791
20240205,마포구,254513
20240205,서대문구,88995
20240205,서초구,143702
20240205,성동구,119501
20240205,성북구,46920
20240205,송파구,195458
20240205,양천구,35178
20240205,영등포구,321896
20240205,은평구,120596
20240205,종로구,231454
20240205,중구,260564
20240205,중랑구,88273
20240206,강남구,419928
20240206,강동구,98148
20240206,강북구,47507
20240206,강서구,190528
20240206,관악구,153667
20240206,광진구,62820
20240206,구로구,130642
20240206,금천구,105114
20240206,노원구,165422
20240206,도봉구,93699
20240206,동대문구,106489
20240206,동작구,91870
20240206,마포구,261675
20240206,서대문구,93062
20240206,서초구,147633
20240206,성동구,122832
20240206,성북구,48431
20240206,송파구,203107
20240206,양천구,36837
20240206,영등포구,330748
20240206,은평구,126152
20240206,종로구,239947
20240206,중구,264955
20240206,중랑구,91842
20240207,강남구,412778
20240207,강동구,98249
20240207,강북구,47773
20240207,강서구,190615
20240207,관악구,155626
20240207,광진구,63722
20240207,구로구,130844
20240207,금천구,103548
20240207,노원구,166118
20240207,도봉구,94555
20240207,동대문구,106619
20240207,동작구,92523
20240207,마포구,262742
20240207,서대문구,92428
20240207,서초구,147256
20240207,성동구,121314
20240207,성북구,48708
20240207,송파구,201563
20240207,양천구,36597
20240207,영등포구,331029
20240207,은평구,126140
20240207,종로구,238771
20240207,중구,262388
20240207,중랑구,91772
20240208,강남구,380613
20240208,강동구,92454
20240208,강북구,46222
20240208,강서구,184594
20240208,관악구,149831
20240208,광진구,63847
20240208,구로구,126351
20240208,금천구,94435
20240208,노원구,160790
20240208,도봉구,91787
20240208,동대문구,102588
20240208,동작구,91274
20240208,마포구,256880
20240208,서대문구,90370
20240208,서초구,143208
20240208,성동구,116698
20240208,성북구,46994
20240208,송파구,187190
20240208,양천구,35346
20240208,영등포구,316341
20240208,은평구,123235
20240208,종로구,224454
20240208,중구,240096
20240208,중랑구,90334
20240209,강남구,102831
20240209,강동구,36475
20240209,강북구,22804
20240209,강서구,83036
20240209,관악구,69142
20240209,광진구,31458
20240209,구로구,50936
20240209,금천구,25670
20240209,노원구,72325
20240209,도봉구,43863
20240209,동대문구,45251
20240209,동작구,44511
20240209,마포구,124543
20240209,서대문구,40893
20240209,서초구,59439
20240209,성동구,43403
20240209,성북구,20569
20240209,송파구,68126
20240209,양천구,14013
20240209,영등포구,106367
20240209,은평구,58147
20240209,종로구,100944
20240209,중구,91399
20240209,중랑구,41995
20240210,강남구,59757
20240210,강동구,26839
20240210,강북구,21793
20240210,강서구,65890
20240210,관악구,50430
20240210,광진구,22817
20240210,구로구,41399
20240210,금천구,20317
20240210,노원구,62704
20240210,도봉구,38694
20240210,동대문구,31991
20240210,동작구,30911
20240210,마포구,93706
20240210,서대문구,29173
20240210,서초구,57197
20240210,성동구,29361
20240210,성북구,18192
20240210,송파구,46961
20240210,양천구,11133
20240210,영등포구,81667
20240210,은평구,46893
20240210,종로구,94073
20240210,중구,87321
20240210,중랑구,35389
20240211,강남구,89821
20240211,강동구,37013
20240211,강북구,25698
20240211,강서구,83985
20240211,관악구,67776
20240211,광진구,31929
20240211,구로구,51809
20240211,금천구,24804
20240211,노원구,78333
20240211,도봉구,49098
20240211,동대문구,41612
20240211,동작구,37909
20240211,마포구,137340
20240211,서대문구,39686
20240211,서초구,111249
20240211,성동구,46059
20240211,성북구,21931
20240211,송파구,69519
20240211,양천구,14689
20240211,영등포구,124249
20240211,은평구,60024
20240211,종로구,126152
20240211,중구,118284
20240211,중랑구,40926
20240212,강남구,118871
20240212,강동구,40662
20240212,강북구,27837
20240212,강서구,91272
20240212,관악구,76573
20240212,광진구,36676
20240212,구로구,55893
20240212,금천구,27362
20240212,노원구,86006
20240212,도봉구,52335
20240212,동대문구,45942
20240212,동작구,42291
20240212,마포구,151558
20240212,서대문구,46103
20240212,서초구,117401
20240212,성동구,52300
20240212,성북구,23339
20240212,송파구,76136
20240212,양천구,15744
20240212,영등포구,135640
20240212,은평구,64330
20240212,종로구,126074
20240212,중구,115030
20240212,중랑구,45404
20240213,강남구,386479
20240213,강동구,90074
20240213,강북구,44851
20240213,강서구,178708
20240213,관악구,141914
20240213,광진구,59328
20240213,구로구,122973
20240213,금천구,97089
20240213,노원구,157108
20240213,도봉구,88633
20240213,동대문구,93461
20240213,동작구,84075
20240213,마포구,252036
20240213,서대문구,86448
20240213,서초구,153927
20240213,성동구,115130
20240213,성북구,44817
20240213,송파구,185112
20240213,양천구,34526
20240213,영등포구,309994
20240213,은평구,118425
20240213,종로구,216357
20240213,중구,248515
20240213,중랑구,85722
20240214,강남구,420719
20240214,강동구,96869
20240214,강북구,48297
20240214,강서구,189957
20240214,관악구,156436
20240214,광진구,63005
20240214,구로구,132822
20240214,금천구,105579
20240214,노원구,168082
20240214,도봉구,94372
20240214,동대문구,102364
20240214,동작구,90355
20240214,마포구,276535
20240214,서대문구,94760
20240214,서초구,155151
20240214,성동구,127459
20240214,성북구,49558
20240214,송파구,199778
20240214,양천구,37414
20240214,영등포구,335726
20240214,은평구,126133
20240214,종로구,250923
20240214,중구,271239
20240214,중랑구,91006
20240215,강남구,418929
20240215,강동구,94227
20240215,강북구,45071
20240215,강서구,186348
20240215,관악구,153672
20240215,광진구,61758
20240215,구로구,127415
20240215,금천구,102421
20240215,노원구,160468
20240215,도봉구,88193
20240215,동대문구,99028
20240215,동작구,88639
20240215,마포구,267986
20240215,서대문구,92507
20240215,서초구,154316
20240215,성동구,124437
20240215,성북구,47703
20240215,송파구,198825
20240215,양천구,36034
20240215,영등포구,329663
20240215,은평구,121897
20240215,종로구,241764
20240215,중구,273350
20240215,중랑구,88611
20240216,강남구,435679
20240216,강동구,100352
20240216,강북구,49255
20240216,강서구,196287
20240216,관악구,167278
20240216,광진구,68449
20240216,구로구,135337
20240216,금천구,105156
20240216,노원구,172780
20240216,도봉구,97826
20240216,동대문구,107866
20240216,동작구,96406
20240216,마포구,292387
20240216,서대문구,100764
20240216,서초구,172344
20240216,성동구,133881
20240216,성북구,49925
20240216,송파구,207812
20240216,양천구,38382
20240216,영등포구,348348
20240216,은평구,131150
20240216,종로구,264937
20240216,중구,286004
20240216,중랑구,95443
20240217,강남구,258859
20240217,강동구,69085
20240217,강북구,40529
20240217,강서구,139078
